          %pt            TT            TS            SS            SS2j            Tot
        0.050    2.11134E-03    1.83398E-08    4.77402E-08    3.51288E-07    2.11176E-03
        1.048    8.55273E-04    2.32396E-05    1.48980E-05    2.75302E-04    1.16871E-03
        2.045    8.48363E-05    5.27015E-05    4.68850E-05    1.10204E-03    1.28646E-03
        3.043    3.20192E-06    3.41192E-05    3.60345E-05    1.20572E-03    1.27907E-03
        4.040    6.60870E-08    1.00726E-05    1.75647E-05    3.96345E-04    4.24049E-04
        5.038    9.38008E-10    1.45875E-06    8.97183E-06    1.44333E-04    1.54765E-04
        6.035    1.04798E-11    1.01478E-07    4.83055E-06    5.79198E-05    6.28518E-05
        7.033    9.98681E-14    5.34920E-09    2.73575E-06    2.53267E-05    2.80678E-05
        8.030    8.52810E-16    2.80825E-10    1.62166E-06    1.19233E-05    1.35453E-05
        9.028    6.73415E-18    1.48127E-11    1.00055E-06    5.97907E-06    6.97964E-06
       10.025    5.02037E-20    7.88728E-13    6.39197E-07    3.16461E-06    3.80381E-06
       11.023    3.58396E-22    4.24916E-14    4.20799E-07    1.75450E-06    2.17530E-06
       12.020    2.47449E-24    2.31816E-15    2.84257E-07    1.01248E-06    1.29674E-06
       13.018    1.66422E-26    1.28084E-16    1.96279E-07    6.04950E-07    8.01229E-07
       14.015    1.09606E-28    7.16509E-18    1.38045E-07    3.72561E-07    5.10607E-07
       15.013    7.09702E-31    4.05604E-19    9.85559E-08    2.35582E-07    3.34138E-07
       16.010    4.53162E-33    2.32203E-20    7.11857E-08    1.52425E-07    2.23611E-07
       17.008    2.86016E-35    1.34351E-21    5.18345E-08    1.00600E-07    1.52435E-07
       18.005    1.78770E-37    7.85132E-23    3.79031E-08    6.75279E-08    1.05431E-07
       19.003    1.10818E-39    4.63135E-24    2.77091E-08    4.59685E-08    7.36776E-08
