          %pt            TT            TS            SS            SS2j            Tot
       10.000    2.24665E-17    7.31186E-12    1.38511E-07    3.08253E-06    3.22105E-06
       10.500    3.10709E-18    2.00923E-12    1.04924E-07    2.24180E-06    2.34673E-06
       11.000    4.25401E-19    5.55777E-13    8.03443E-08    1.65111E-06    1.73145E-06
       11.500    5.77292E-20    1.54718E-13    6.21380E-08    1.23036E-06    1.29249E-06
       12.000    7.77308E-21    4.33357E-14    4.85004E-08    9.26813E-07    9.75313E-07
       12.500    1.03937E-21    1.22099E-14    3.81773E-08    7.05211E-07    7.43389E-07
       13.000    1.38121E-22    3.45963E-15    3.02866E-08    5.41626E-07    5.71912E-07
       13.500    1.82531E-23    9.85601E-16    2.41996E-08    4.19608E-07    4.43808E-07
       14.000    2.40021E-24    2.82245E-16    1.94636E-08    3.27707E-07    3.47171E-07
       14.500    3.14202E-25    8.12287E-17    1.57489E-08    2.57856E-07    2.73605E-07
       15.000    4.09640E-26    2.34887E-17    1.28130E-08    2.04308E-07    2.17121E-07
       15.500    5.32101E-27    6.82322E-18    1.04760E-08    1.62926E-07    1.73402E-07
       16.000    6.88852E-28    1.99074E-18    8.60297E-09    1.30703E-07    1.39306E-07
       16.500    8.89052E-29    5.83257E-19    7.09220E-09    1.05432E-07    1.12524E-07
       17.000    1.14422E-29    1.71572E-19    5.86615E-09    8.54787E-08    9.13448E-08
       17.500    1.46884E-30    5.06647E-20    4.86541E-09    6.96243E-08    7.44897E-08
       18.000    1.88110E-31    1.50165E-20    4.04408E-09    5.69506E-08    6.09947E-08
       18.500    2.40382E-32    4.46656E-21    3.36650E-09    4.67618E-08    5.01283E-08
       19.000    3.06562E-33    1.33308E-21    2.80476E-09    3.85265E-08    4.13312E-08
       19.500    3.90234E-34    3.99175E-22    2.33693E-09    3.18361E-08    3.41731E-08
